,CarName,fueltype,aspiration,carbody,drivewheel,enginelocation,enginetype,fuelsystem,doornumber,cylindernumber,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
54,mazda glc deluxe,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9.0,68,5000,31,38,7395.0
55,mazda 626,gas,std,hatchback,rwd,front,rotor,4bbl,two,two,3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,10945.0
56,mazda glc,gas,std,hatchback,rwd,front,rotor,4bbl,two,two,3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,11845.0
57,mazda rx-7 gs,gas,std,hatchback,rwd,front,rotor,4bbl,two,two,3,95.3,169.0,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,13645.0
58,mazda glc 4,gas,std,hatchback,rwd,front,rotor,mpfi,two,two,3,95.3,169.0,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,15645.0
59,mazda 626,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,8845.0
60,mazda glc custom l,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,8495.0
61,mazda glc custom,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10595.0
62,mazda rx-4,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10245.0
63,mazda glc deluxe,diesel,std,sedan,fwd,front,ohc,idi,four,four,0,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,10795.0
64,mazda 626,gas,std,hatchback,fwd,front,ohc,2bbl,four,four,0,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,11245.0
65,mazda glc,gas,std,sedan,rwd,front,ohc,mpfi,four,four,0,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,18280.0
66,mazda rx-7 gs,diesel,std,sedan,rwd,front,ohc,idi,four,four,0,104.9,175.0,66.1,54.4,2700,134,3.43,3.64,22.0,72,4200,31,39,18344.0
67,buick electra 225 custom,diesel,turbo,sedan,rwd,front,ohc,idi,four,five,-1,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,25552.0
68,buick century luxus (sw),diesel,turbo,wagon,rwd,front,ohc,idi,four,five,-1,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28248.0
69,buick century,diesel,turbo,hardtop,rwd,front,ohc,idi,two,five,0,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,28176.0
70,buick skyhawk,diesel,turbo,sedan,rwd,front,ohc,idi,four,five,-1,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,31600.0
71,buick opel isuzu deluxe,gas,std,sedan,rwd,front,ohcv,mpfi,four,eight,-1,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,34184.0
72,buick skylark,gas,std,convertible,rwd,front,ohcv,mpfi,two,eight,3,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,35056.0
73,buick century special,gas,std,sedan,rwd,front,ohcv,mpfi,four,eight,0,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,40960.0
74,buick regal sport coupe (turbo),gas,std,hardtop,rwd,front,ohcv,mpfi,two,eight,1,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,45400.0
75,mercury cougar,gas,turbo,hatchback,rwd,front,ohc,mpfi,two,four,1,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,16503.0
76,mitsubishi mirage,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,2,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,5389.0
77,mitsubishi lancer,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,2,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,6189.0
78,mitsubishi outlander,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,2,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,6669.0
79,mitsubishi g4,gas,turbo,hatchback,fwd,front,ohc,spdi,two,four,1,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,7689.0
80,mitsubishi mirage g4,gas,turbo,hatchback,fwd,front,ohc,spdi,two,four,3,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,9959.0
81,mitsubishi g4,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,3,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,8499.0
82,mitsubishi outlander,gas,turbo,hatchback,fwd,front,ohc,spdi,two,four,3,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,12629.0
83,mitsubishi g4,gas,turbo,hatchback,fwd,front,ohc,spdi,two,four,3,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7.0,145,5000,19,24,14869.0
84,mitsubishi mirage g4,gas,turbo,hatchback,fwd,front,ohc,spdi,two,four,3,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7.0,145,5000,19,24,14489.0
85,mitsubishi montero,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,6989.0
86,mitsubishi pajero,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,8189.0
87,mitsubishi outlander,gas,turbo,sedan,fwd,front,ohc,spdi,four,four,1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0
88,mitsubishi mirage g4,gas,std,sedan,fwd,front,ohc,spdi,four,four,-1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0
89,Nissan versa,gas,std,sedan,fwd,front,ohc,2bbl,two,four,1,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,5499.0
90,nissan gt-r,diesel,std,sedan,fwd,front,ohc,idi,two,four,1,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,7099.0
91,nissan rogue,gas,std,sedan,fwd,front,ohc,2bbl,two,four,1,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,6649.0
92,nissan latio,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,6849.0
93,nissan titan,gas,std,wagon,fwd,front,ohc,2bbl,four,four,1,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,7349.0
94,nissan leaf,gas,std,sedan,fwd,front,ohc,2bbl,two,four,1,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,7299.0
95,nissan juke,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,7799.0
96,nissan latio,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,7499.0
97,nissan note,gas,std,wagon,fwd,front,ohc,2bbl,four,four,1,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,7999.0
98,nissan clipper,gas,std,hardtop,fwd,front,ohc,2bbl,two,four,2,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,8249.0
99,nissan rogue,gas,std,hatchback,fwd,front,ohc,2bbl,four,four,0,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,8949.0
100,nissan nv200,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,9549.0
101,nissan dayz,gas,std,sedan,fwd,front,ohcv,mpfi,four,six,0,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,13499.0
102,nissan fuga,gas,std,wagon,fwd,front,ohcv,mpfi,four,six,0,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9.0,152,5200,17,22,14399.0
103,nissan otti,gas,std,sedan,fwd,front,ohcv,mpfi,four,six,0,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,13499.0
104,nissan teana,gas,std,hatchback,rwd,front,ohcv,mpfi,two,six,3,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,17199.0
105,nissan kicks,gas,turbo,hatchback,rwd,front,ohcv,mpfi,two,six,3,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,19699.0
106,nissan clipper,gas,std,hatchback,rwd,front,ohcv,mpfi,two,six,1,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,18399.0
107,peugeot 504,gas,std,sedan,rwd,front,l,mpfi,four,four,0,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,11900.0
108,peugeot 304,diesel,turbo,sedan,rwd,front,l,idi,four,four,0,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,13200.0
109,peugeot 504 (sw),gas,std,wagon,rwd,front,l,mpfi,four,four,0,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,12440.0
110,peugeot 504,diesel,turbo,wagon,rwd,front,l,idi,four,four,0,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21.0,95,4150,25,25,13860.0
111,peugeot 504,gas,std,sedan,rwd,front,l,mpfi,four,four,0,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,15580.0
112,peugeot 604sl,diesel,turbo,sedan,rwd,front,l,idi,four,four,0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,16900.0
113,peugeot 504,gas,std,wagon,rwd,front,l,mpfi,four,four,0,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,16695.0
114,peugeot 505s turbo diesel,diesel,turbo,wagon,rwd,front,l,idi,four,four,0,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21.0,95,4150,25,25,17075.0
115,peugeot 504,gas,std,sedan,rwd,front,l,mpfi,four,four,0,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,16630.0
116,peugeot 504,diesel,turbo,sedan,rwd,front,l,idi,four,four,0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,17950.0
117,peugeot 604sl,gas,turbo,sedan,rwd,front,l,mpfi,four,four,0,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,18150.0
118,plymouth fury iii,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,5572.0
119,plymouth cricket,gas,turbo,hatchback,fwd,front,ohc,spdi,two,four,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0
120,plymouth fury iii,gas,std,hatchback,fwd,front,ohc,2bbl,four,four,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0
121,plymouth satellite custom (sw),gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0
122,plymouth fury gran sedan,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,7609.0
123,plymouth valiant,gas,std,wagon,fwd,front,ohc,2bbl,four,four,-1,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,8921.0
124,plymouth duster,gas,turbo,hatchback,rwd,front,ohc,spdi,two,four,3,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7.0,145,5000,19,24,12764.0
125,porsche macan,gas,std,hatchback,rwd,front,ohc,mpfi,two,four,3,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,22018.0
126,porcshce panamera,gas,std,hardtop,rwd,rear,ohcf,mpfi,two,six,3,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,32528.0
127,porsche cayenne,gas,std,hardtop,rwd,rear,ohcf,mpfi,two,six,3,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,34028.0
128,porsche boxter,gas,std,convertible,rwd,rear,ohcf,mpfi,two,six,3,89.5,168.9,65.0,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,37028.0
129,porsche cayenne,gas,std,hatchback,rwd,front,dohcv,mpfi,two,eight,1,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10.0,288,5750,17,28,31400.5
130,renault 12tl,gas,std,wagon,fwd,front,ohc,mpfi,four,four,0,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,9295.0
131,renault 5 gtl,gas,std,hatchback,fwd,front,ohc,mpfi,two,four,2,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,9895.0
132,saab 99e,gas,std,hatchback,fwd,front,ohc,mpfi,two,four,3,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,11850.0
133,saab 99le,gas,std,sedan,fwd,front,ohc,mpfi,four,four,2,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,12170.0
134,saab 99le,gas,std,hatchback,fwd,front,ohc,mpfi,two,four,3,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,15040.0
135,saab 99gle,gas,std,sedan,fwd,front,ohc,mpfi,four,four,2,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,15510.0
136,saab 99gle,gas,turbo,hatchback,fwd,front,dohc,mpfi,two,four,3,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160,5500,19,26,18150.0
137,saab 99e,gas,turbo,sedan,fwd,front,dohc,mpfi,four,four,2,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9.0,160,5500,19,26,18620.0
138,subaru,gas,std,hatchback,fwd,front,ohcf,2bbl,two,four,2,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69,4900,31,36,5118.0
139,subaru dl,gas,std,hatchback,fwd,front,ohcf,2bbl,two,four,2,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,7053.0
140,subaru dl,gas,std,hatchback,4wd,front,ohcf,2bbl,two,four,2,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,7603.0
141,subaru,gas,std,sedan,fwd,front,ohcf,2bbl,four,four,0,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,7126.0
142,subaru brz,gas,std,sedan,fwd,front,ohcf,2bbl,four,four,0,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,7775.0
143,subaru baja,gas,std,sedan,fwd,front,ohcf,mpfi,four,four,0,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,9.0,94,5200,26,32,9960.0
144,subaru r1,gas,std,sedan,4wd,front,ohcf,2bbl,four,four,0,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,9.0,82,4800,24,25,9233.0
145,subaru r2,gas,turbo,sedan,4wd,front,ohcf,mpfi,four,four,0,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,11259.0
146,subaru trezia,gas,std,wagon,fwd,front,ohcf,2bbl,four,four,0,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82,4800,28,32,7463.0
147,subaru tribeca,gas,std,wagon,fwd,front,ohcf,mpfi,four,four,0,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94,5200,25,31,10198.0
148,subaru dl,gas,std,wagon,4wd,front,ohcf,2bbl,four,four,0,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82,4800,23,29,8013.0
149,subaru dl,gas,turbo,wagon,4wd,front,ohcf,mpfi,four,four,0,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,11694.0
150,toyota corona mark ii,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62,4800,35,39,5348.0
151,toyota corona,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9.0,62,4800,31,38,6338.0
152,toyota corolla 1200,gas,std,hatchback,fwd,front,ohc,2bbl,four,four,1,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9.0,62,4800,31,38,6488.0
153,toyota corona hardtop,gas,std,wagon,fwd,front,ohc,2bbl,four,four,0,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9.0,62,4800,31,37,6918.0
154,toyota corolla 1600 (sw),gas,std,wagon,4wd,front,ohc,2bbl,four,four,0,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62,4800,27,32,7898.0
155,toyota carina,gas,std,wagon,4wd,front,ohc,2bbl,four,four,0,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9.0,62,4800,27,32,8778.0
